medalist_name,gender,sport,medal
Andrea Fuentes,female,synchronized swimming,silver
Anna Shorina,female,synchronized swimming,gold
Elvira Khasyanova,female,synchronized swimming,gold
Emiko Suzuki,female,synchronized swimming,bronze
Gemma Mengual,female,synchronized swimming,silver
Gisela Morón,female,synchronized swimming,silver
Gu Beibei,female,synchronized swimming,bronze
Huang Xuechen,female,synchronized swimming,bronze
Irina Rodríguez,female,synchronized swimming,silver
Jiang Tingting,female,synchronized swimming,bronze
Jiang Wenwen,female,synchronized swimming,bronze
Laura López,female,synchronized swimming,silver
Liu Ou,female,synchronized swimming,bronze
Luo Xi,female,synchronized swimming,bronze
Mariya Gromova,female,synchronized swimming,gold
Natalia Ishchenko,female,synchronized swimming,gold
Olga Kuzhela,female,synchronized swimming,gold
Paola Tirados,female,synchronized swimming,silver
Raquel Corral,female,synchronized swimming,silver
Saho Harada,female,synchronized swimming,bronze
Sun Qiuting,female,synchronized swimming,bronze
Svetlana Romashina,female,synchronized swimming,gold
Thaïs Henríquez,female,synchronized swimming,silver
Wang Na,female,synchronized swimming,bronze
Yelena Ovchinnikova,female,synchronized swimming,gold
Zhang Xiaohuan,female,synchronized swimming,bronze
Christian Süß,male,table tennis,silver
Dimitrij Ovtcharov,male,table tennis,silver
Ma Lin,male,table tennis,gold
Oh Sang-eun,male,table tennis,bronze
Ryu Seung-min,male,table tennis,bronze
Timo Boll,male,table tennis,silver
Wang Hao,male,table tennis,silver
Wang Liqin,male,table tennis,bronze
Yoon Jae-Young,male,table tennis,bronze
Dang Ye-seo,female,table tennis,bronze
Feng Tianwei,female,table tennis,silver
Guo Yue,female,table tennis,bronze
Kim Kyungah,female,table tennis,bronze
Li Jiawei,female,table tennis,silver
Park Mi-Young,female,table tennis,bronze
Wang Nan,female,table tennis,silver
Wang Yuegu,female,table tennis,silver
Zhang Yining,female,table tennis,gold
Alexandros Nikolaidis,male,taekwondo,silver
Arman Chilmanov,male,taekwondo,bronze
Cha Dong-Min,male,taekwondo,gold
Chika Chukwumerije,male,taekwondo,bronze
Chu Mu-yen,male,taekwondo,bronze
Gabriel Mercedes,male,taekwondo,silver
Guillermo Pérez,male,taekwondo,gold
Hadi Saei,male,taekwondo,gold
Mark López,male,taekwondo,silver
Mauro Sarmiento,male,taekwondo,silver
Rohullah Nikpai,male,taekwondo,bronze
Servet Tazegül,male,taekwondo,bronze
Son Tae-jin,male,taekwondo,gold
Steven López,male,taekwondo,bronze
Sung Yu-chi,male,taekwondo,bronze
Zhu Guo,male,taekwondo,bronze
Azize Tanrıkulu,female,taekwondo,silver
Buttree Puedpong,female,taekwondo,silver
Dalia Contreras,female,taekwondo,bronze
Daynellis Montejo,female,taekwondo,bronze
Diana López,female,taekwondo,bronze
Gwladys Épangue,female,taekwondo,bronze
Hwang Kyung-Seon,female,taekwondo,gold
Karine Sergerie,female,taekwondo,silver
Lim Su-jeong,female,taekwondo,gold
Martina Zubčić,female,taekwondo,bronze
María Espinoza,female,taekwondo,gold
Natália Falavigna,female,taekwondo,bronze
Nina Solheim,female,taekwondo,silver
Sandra Šarić,female,taekwondo,bronze
Sarah Stevenson,female,taekwondo,bronze
Wu Jingyu,female,taekwondo,gold
Bob Bryan,male,tennis,bronze
Fernando González,male,tennis,silver
Mike Bryan,male,tennis,bronze
Novak Djokovic,male,tennis,bronze
Rafael Nadal,male,tennis,gold
Roger Federer,male,tennis,gold
Simon Aspelin,male,tennis,silver
Stan Wawrinka,male,tennis,gold
Thomas Johansson,male,tennis,silver
Anabel Medina Garrigues,female,tennis,silver
Dinara Safina,female,tennis,silver
Elena Dementieva,female,tennis,gold
Serena Williams,female,tennis,gold
Venus Williams,female,tennis,gold
Vera Zvonareva,female,tennis,bronze
Virginia Ruano Pascual,female,tennis,silver
Yan Zi,female,tennis,bronze
Zheng Jie,female,tennis,bronze
Bevan Docherty,male,triathlon,bronze
Jan Frodeno,male,triathlon,gold
Simon Whitfield,male,triathlon,silver
Emma Moffatt,female,triathlon,bronze
Emma Snowsill,female,triathlon,gold
Vanessa Fernandes,female,triathlon,silver
Emanuel Rego,male,beach volleyball,bronze
Fábio Luiz Magalhães,male,beach volleyball,silver
Márcio Araújo,male,beach volleyball,silver
Phil Dalhausser,male,beach volleyball,gold
Ricardo Santos,male,beach volleyball,bronze
Todd Rogers,male,beach volleyball,gold
Kerri Walsh Jennings,female,beach volleyball,gold
Misty May-Treanor,female,beach volleyball,gold
Tian Jia,female,beach volleyball,silver
Wang Jie,female,beach volleyball,silver
Xue Chen,female,beach volleyball,bronze
Zhang Xi,female,beach volleyball,bronze
Aleksandr Korneev,male,volleyball,bronze
Aleksandr Kosarev,male,volleyball,bronze
Aleksandr Volkov,male,volleyball,bronze
Aleksey Kuleshov,male,volleyball,bronze
Aleksey Ostapenko,male,volleyball,bronze
Aleksey Verbov,male,volleyball,bronze
Anderson Rodrigues,male,volleyball,silver
André Heller,male,volleyball,silver
André Nascimento,male,volleyball,silver
Bruno Rezende,male,volleyball,silver
Clayton Stanley,male,volleyball,gold
Dante Amaral,male,volleyball,silver
David Lee,male,volleyball,gold
Gabriel Gardner,male,volleyball,gold
Giba,male,volleyball,silver
Gustavo Endres,male,volleyball,silver
Kevin Hansen,male,volleyball,gold
Lloy Ball,male,volleyball,gold
Marcelo Elgarten,male,volleyball,silver
Maxim Mikhaylov,male,volleyball,bronze
Murilo Endres,male,volleyball,silver
Reid Priddy,male,volleyball,gold
Richard Lambourne,male,volleyball,gold
Riley Salmon,male,volleyball,gold
Rodrigão,male,volleyball,silver
Ryan Millar,male,volleyball,gold
Samuel Fuchs,male,volleyball,silver
Scott Touzinsky,male,volleyball,gold
Sean Rooney,male,volleyball,gold
Semyon Poltavskiy,male,volleyball,bronze
Sergey Grankin,male,volleyball,bronze
Sergey Tetyukhin,male,volleyball,bronze
Sérgio Santos,male,volleyball,silver
Thomas Hoff,male,volleyball,gold
Vadim Khamuttskikh,male,volleyball,bronze
Yury Berezhko,male,volleyball,bronze
Carolina Albuquerque,female,volleyball,gold
Danielle Scott-Arruda,female,volleyball,silver
Fabiana Claudino,female,volleyball,gold
Fabiana de Oliveira,female,volleyball,gold
Feng Kun,female,volleyball,bronze
Fofão,female,volleyball,gold
Heather Bown,female,volleyball,silver
Jaqueline Carvalho,female,volleyball,gold
Jennifer Joines,female,volleyball,silver
Kim Glass,female,volleyball,silver
Kim Willoughby,female,volleyball,silver
Li Juan,female,volleyball,bronze
Lindsey Berg,female,volleyball,silver
Liu Yanan,female,volleyball,bronze
Logan Tom,female,volleyball,silver
Ma Yunwen,female,volleyball,bronze
Marianne Steinbrecher,female,volleyball,gold
Nicole Davis,female,volleyball,silver
Ogonna Nnamani,female,volleyball,silver
Paula Pequeno,female,volleyball,gold
Robyn Ah Mow-Santos,female,volleyball,silver
Sheilla Castro,female,volleyball,gold
Stacy Sykora,female,volleyball,silver
Tayyiba Haneef-Park,female,volleyball,silver
Thaísa Menezes,female,volleyball,gold
Valeska Menezes,female,volleyball,gold
Walewska Oliveira,female,volleyball,gold
Wang Yimei,female,volleyball,bronze
Wei Qiuyue,female,volleyball,bronze
Welissa Gonzaga,female,volleyball,gold
Xu Yunli,female,volleyball,bronze
Xue Ming,female,volleyball,bronze
Yang Hao,female,volleyball,bronze
Zhang Na,female,volleyball,bronze
Zhao Ruirui,female,volleyball,bronze
Zhou Suhong,female,volleyball,bronze
Adam Wright,male,water polo,silver
Aleksandar Ćirić,male,water polo,bronze
Aleksandar Šapić,male,water polo,bronze
Andrija Prlainović,male,water polo,bronze
Brandon Brooks,male,water polo,silver
Branko Peković,male,water polo,bronze
Dejan Savić,male,water polo,bronze
Denis Šefik,male,water polo,bronze
Duško Pijetlović,male,water polo,bronze
Dániel Varga,male,water polo,gold
Dénes Varga,male,water polo,gold
Filip Filipović,male,water polo,bronze
Gergely Kiss,male,water polo,gold
Gábor Kis,male,water polo,gold
István Gergely,male,water polo,gold
J. W. Krumpholz,male,water polo,silver
Jeff Powers,male,water polo,silver
Jesse Smith,male,water polo,silver
Layne Beaubien,male,water polo,silver
Merrill Moses,male,water polo,silver
Nikola Rađen,male,water polo,bronze
Norbert Hosnyánszky,male,water polo,gold
Norbert Madaras,male,water polo,gold
Peter Hudnut,male,water polo,silver
Peter Varellas,male,water polo,silver
Péter Biros,male,water polo,gold
Rick Merlo,male,water polo,silver
Ryan Bailey,male,water polo,silver
Slobodan Soro,male,water polo,bronze
Tamás Kásás,male,water polo,gold
Tamás Molnár,male,water polo,gold
Tamás Varga,male,water polo,gold
Tibor Benedek,male,water polo,gold
Tim Hutten,male,water polo,silver
Tony Azevedo,male,water polo,silver
Vanja Udovičić,male,water polo,bronze
Vladimir Vujasinović,male,water polo,bronze
Zoltán Szécsi,male,water polo,gold
Živko Gocić,male,water polo,bronze
Alette Sijbring,female,water polo,gold
Alicia McCormack,female,water polo,bronze
Alison Gregorka,female,water polo,silver
Amy Hetzel,female,water polo,bronze
Biurakn Hakhverdian,female,water polo,gold
Brenda Villa,female,water polo,silver
Brittany Hayes,female,water polo,silver
Bronwen Knox,female,water polo,bronze
Daniëlle de Bruijn,female,water polo,gold
Elizabeth Armstrong,female,water polo,silver
Elsie Windes,female,water polo,silver
Emma Knox,female,water polo,bronze
Gemma Beadsworth,female,water polo,bronze
Gillian van den Berg,female,water polo,gold
Heather Petri,female,water polo,silver
Iefke van Belkum,female,water polo,gold
Ilse van der Meijden,female,water polo,gold
Jaime Komer,female,water polo,silver
Jenna Santoromito,female,water polo,bronze
Jessica Steffens,female,water polo,silver
Kami Craig,female,water polo,silver
Kate Gynther,female,water polo,bronze
Lauren Wenger,female,water polo,silver
Marieke van den Ham,female,water polo,gold
Meike de Nooy,female,water polo,gold
Melissa Rippon,female,water polo,bronze
Mia Santoromito,female,water polo,bronze
Mieke Cabout,female,water polo,gold
Moriah van Norman,female,water polo,silver
Natalie Golda,female,water polo,silver
Nikita Cuffe,female,water polo,bronze
Noeki Klein,female,water polo,gold
Patty Cardenas,female,water polo,silver
Rebecca Rippon,female,water polo,bronze
Rianne Guichelaar,female,water polo,gold
Simone Koot,female,water polo,gold
Suzie Fraser,female,water polo,bronze
Taniele Gofers,female,water polo,bronze
Yasemin Smit,female,water polo,gold
Andrei Aramnau,male,weightlifting,gold
Arsen Kasabiev,male,weightlifting,silver
Diego Salazar,male,weightlifting,silver
Dmitry Klokov,male,weightlifting,silver
Eko Irawan,male,weightlifting,bronze
Evgeny Chigishev,male,weightlifting,silver
Gevorg Davtyan,male,weightlifting,bronze
Hoang Anh Tuan,male,weightlifting,silver
Jadier Valladares,male,weightlifting,bronze
Li Hongli,male,weightlifting,silver
Liao Hui,male,weightlifting,gold
Long Qingquan,male,weightlifting,gold
Lu Yong,male,weightlifting,gold
Marcin Dołęga,male,weightlifting,bronze
Matthias Steiner,male,weightlifting,gold
Sa Jae-Hyouk,male,weightlifting,gold
Szymon Kołecki,male,weightlifting,gold
Tigran Vardan Martirosyan,male,weightlifting,silver
Triyatno,male,weightlifting,bronze
Vencelas Dabaya,male,weightlifting,silver
Viktors Ščerbatihs,male,weightlifting,bronze
Yoandry Hernández,male,weightlifting,bronze
Yordanis Borrero,male,weightlifting,bronze
Zhang Xiangxiang,male,weightlifting,gold
Abeer Abdelrahman,female,weightlifting,bronze
Alla Vazhenina,female,weightlifting,gold
Chen Wei-ling,female,weightlifting,gold
Chen Yanqing,female,weightlifting,gold
Christine Girard,female,weightlifting,bronze
Damaris Gabriela Aguirre Aldaz,female,weightlifting,bronze
Ele Opeloge,female,weightlifting,silver
Im Jyoung-Hwa,female,weightlifting,silver
Jang Mi-ran,female,weightlifting,gold
Leydi Solís,female,weightlifting,silver
Lu Ying-chi,female,weightlifting,silver
Lydia Valentín,female,weightlifting,silver
Mariam Usman,female,weightlifting,bronze
O Jong-ae,female,weightlifting,silver
Oksana Slivenko,female,weightlifting,gold
Pak Hyon-suk,female,weightlifting,gold
Pensiri Laosirikul,female,weightlifting,bronze
Prapawadee Jaroenrattanatarakoon,female,weightlifting,gold
Raema Lisa Rumbewas,female,weightlifting,bronze
Wandee Kameaim,female,weightlifting,bronze
Yoon Jin-Hee,female,weightlifting,silver
Andriy Stadnik,male,freestyle wrestling,silver
Bakhtiyar Akhmedov,male,freestyle wrestling,gold
Bazar Bazarguruev,male,freestyle wrestling,bronze
Besik Kudukhov,male,freestyle wrestling,bronze
Buvaisar Saitiev,male,freestyle wrestling,gold
David Musuľbes,male,freestyle wrestling,silver
Disney Rodríguez,male,freestyle wrestling,bronze
Georgy Ketoyev,male,freestyle wrestling,bronze
Gheorghiță Ștefan,male,freestyle wrestling,bronze
Giorgi Gogshelidze,male,freestyle wrestling,silver
Henry Cejudo,male,freestyle wrestling,gold
Kenichi Yumoto,male,freestyle wrestling,silver
Khetag Gazyumov,male,freestyle wrestling,bronze
Kiril Terziev,male,freestyle wrestling,bronze
Marid Mutalimov,male,freestyle wrestling,bronze
Mavlet Batirov,male,freestyle wrestling,gold
Michel Batista Martínez,male,freestyle wrestling,bronze
Morad Mohammadi,male,freestyle wrestling,bronze
Murad Gaidarov,male,freestyle wrestling,silver
Otar Tushishvili,male,freestyle wrestling,bronze
Radoslav Velikov,male,freestyle wrestling,bronze
Ramazan Şahin,male,freestyle wrestling,gold
Revaz Mindorashvili,male,freestyle wrestling,gold
Shirvani Muradov,male,freestyle wrestling,gold
Sushil Kumar,male,freestyle wrestling,bronze
Taras Danko,male,freestyle wrestling,bronze
Tomohiro Matsunaga,male,freestyle wrestling,silver
Yusup Abdusalomov,male,freestyle wrestling,silver
Agnieszka Wieszczek-Kordus,female,freestyle wrestling,bronze
Alena Kartashova,female,freestyle wrestling,silver
Carol Huynh,female,freestyle wrestling,gold
Chiharu Icho,female,freestyle wrestling,silver
Iryna Merleni,female,freestyle wrestling,bronze
Jackeline Rentería,female,freestyle wrestling,bronze
Kaori Icho,female,freestyle wrestling,gold
Kyoko Hamaguchi,female,freestyle wrestling,bronze
Mariya Stadnik,female,freestyle wrestling,bronze
Randi Miller,female,freestyle wrestling,bronze
Saori Yoshida,female,freestyle wrestling,gold
Stanka Zlateva,female,freestyle wrestling,silver
Tonya Verbeek,female,freestyle wrestling,bronze
Wang Jiao,female,freestyle wrestling,gold
Xu Li,female,freestyle wrestling,silver
Yelena Shalygina,female,freestyle wrestling,bronze
Adam Wheeler,male,greco roman wrestling,bronze
Andrea Minguzzi,male,greco roman wrestling,gold
Armen Vardanyan,male,greco roman wrestling,bronze
Aslanbek Khushtov,male,greco roman wrestling,gold
Chang Yongxiang,male,greco roman wrestling,silver
Christophe Guénot,male,greco roman wrestling,bronze
Islambek Albiev,male,greco roman wrestling,gold
Kanatbek Begaliev,male,greco roman wrestling,silver
Manuchar Kvirkvelia,male,greco roman wrestling,gold
Marek Švec,male,greco roman wrestling,bronze
Mijaín López,male,greco roman wrestling,gold
Mikhail Siamionau,male,greco roman wrestling,bronze
Mindaugas Mizgaitis,male,greco roman wrestling,silver
Mirko Englich,male,greco roman wrestling,silver
Nazmi Avluca,male,greco roman wrestling,bronze
Nazyr Mankiev,male,greco roman wrestling,gold
Nurbakyt Tengizbayev,male,greco roman wrestling,silver
Park Eun-Chul,male,greco roman wrestling,bronze
Roman Amoyan,male,greco roman wrestling,bronze
Rovshan Bayramov,male,greco roman wrestling,silver
Ruslan Tumenbaev,male,greco roman wrestling,bronze
Sheng Jiang,male,greco roman wrestling,bronze
Steeve Guénot,male,greco roman wrestling,gold
Yannick Szczepaniak,male,greco roman wrestling,bronze
Yavor Yanakiev,male,greco roman wrestling,bronze
Yury Patrikeyev,male,greco roman wrestling,bronze
Zoltán Fodor,male,greco roman wrestling,silver
